"Year","Track"
"2015","stolen dance"
"2015","centuries"
"2015","jealous"
"2015","dear future husband"
"2015","sun daze"
"2015","heroes we could be"
"2015","shotgun rider"
"2015","thinking out loud"
"2015","body language"
"2015","often"
"2015","drinking class"
"2015","outside"
"2015","gdfr"
"2015","talladega"
"2015","beg for it"
"2015","style"
"2015","ghost"
"2015","bad blood"
"2015","til its gone"
"2015","something big"
"2015","mean to me"
"2015","homegrown honey"
"2015","shut up and dance"
"2015","uptown funk"
"2015","make me wanna"
"2015","she knows"
"2015","bed of lies"
"2015","coco"
"2015","i dont mind"
"2015","santa tell me"
"2015","i lived"
"2015","i see you"
"2015","sledgehammer"
"2015","time of our lives"
"2015","all i want for christmas is you"
"2015","prayer in c"
"2015","geronimo"
"2015","like a cowboy"
"2015","break the rules"
"2015","wasted love"
"2015","my babys got a smile on her face"
"2015","feeling myself"
"2015","velvet"
"2015","lost without you"
"2015","masterpiece"
"2015","soldier"
"2015","lost stars"
"2015","get on your knees"
"2015","apparently"
"2015","lonely eyes"
"2015","earned it fifty shades of grey"
"2015","stuck on a feeling"
"2015","bad btch"
"2015","cant stop dancin"
"2015","title"
"2015","only one"
"2015","throw sum mo"
"2015","take your time"
"2015","what we aint got"
"2015","a guy walks into a bar"
"2015","take it on back"
"2015","aint worth the whiskey"
"2015","i mean it"
"2015","elastic heart"
"2015","ayo"
"2015","love me like you do"
"2015","irresistible"
"2015","best friends"
"2015","blank space"
"2015","not for long"
"2015","post to be"
"2015","all about it"
"2015","sugar"
"2015","heartbeat song"
"2015","homegrown"
"2015","uma thurman"
"2015","glory"
"2015","say you do"
"2015","the body"
"2015","fourfiveseconds"
"2015","truffle butter"
"2015","worth it"
"2015","trap queen"
"2015","somebody"
"2015","immortals"
"2015","slow motion"
"2015","riptide"
"2015","lonely tonight"
"2015","shots"
"2015","budapest"
"2015","chains"
"2015","talking body"
"2015","i bet"
"2015","just gettin started"
"2015","work it"
"2015","get ur freak on"
"2015","blessings"
"2015","lay me down"
"2015","a little too much"
"2015","hotel"
"2015","out the speakers"
"2015","girl crush"
"2015","energy"
"2015","little red wagon"
"2015","one last time"
"2015","preach"
"2015","legend"
"2015"," bands"
"2015","used to"
"2015","where you belong"
"2015","honey im good"
"2015","i put a spell on you"
"2015","keep your money"
"2015","what kind of man"
"2015","wonderland"
"2015","know yourself"
"2015","no tellin"
"2015"," god"
"2015","now  forever"
"2015"," man"
"2015","go hard or go home"
"2015","i bet my life"
"2015","i want you to know"
"2015","first kiss"
"2015","youre so beautiful"
"2015","all your fault"
"2015","you are in love"
"2015","nobody love"
"2015","smoke"
"2015","raise em up"
"2015","one man can change the world"
"2015","watch me"
"2015","paradise"
